month,position,artist,song,score,us,uk,de,fr,ca,au
Jul-16,49,Kiiara,Gold,566.879,45,52,-,-,-,46
Jul-16,50,Future,Wicked,524.792,41,-,-,-,-,-
Aug-16,1,Sia,Cheap Thrills,2045.696,1,13,-,5,1,28
Aug-16,2,"Drake, WizKid & Kyla",One Dance,2008.751,1,5,7,12,4,4
Aug-16,3,Justin Timberlake,Can't Stop The Feeling,1934.07,2,11,6,1,3,6
Aug-16,4,"Major Lazer, Justin Bieber & MO",Cold Water,1876.193,2,1,2,2,1,1
Aug-16,5,Rihanna & Calvin Harris,This Is What You Came For,1809.356,3,7,-,7,1,3
Aug-16,6,The Chainsmokers & Daya,Don't Let Me Down,1725.02,5,4,8,22,4,11
Aug-16,7,Shawn Mendes,Treat You Better,1514.048,14,6,4,117,7,4
Aug-16,8,Twenty One Pilots,Ride,1349.096,6,47,-,15,13,21
Aug-16,9,Adele,Send My Love (To Your New Lover),1265.165,9,16,-,62,10,13
Aug-16,10,Kent Jones,Don't Mind,1263.561,8,9,-,35,14,19
Aug-16,11,Twenty One Pilots,Heathens,1247.902,4,5,-,31,9,4
Aug-16,12,Desiigner,Panda,1218.646,8,31,-,28,9,23
Aug-16,13,Rihanna,Needed Me,1182.071,7,44,-,186,25,48
Aug-16,14,Rihanna & Drake,Too Good,1179.872,17,8,-,48,10,7
Aug-16,15,Charlie Puth & Selena Gomez,We Don't Talk Anymore,1130.132,19,14,-,17,17,13
Aug-16,16,Mike Posner,I Took A Pill In Ibiza,1106.936,13,29,-,24,6,27
Aug-16,17,Kungs & Cookin' On 3 Burners,This Girl,1104.205,65,7,3,3,19,25
Aug-16,18,Fifth Harmony & Ty Dolla Sign,Work From Home,1095.763,12,24,-,71,7,34
Aug-16,19,Pink,Just Like Fire,1055.873,11,52,-,64,13,25
Aug-16,20,Ariana Grande,Into You,1030.148,13,14,-,121,18,11
Aug-16,21,Drake,Controlla,1008.529,16,25,-,83,31,49
Aug-16,22,DJ Khaled & Drake,For Free,923.62,13,70,-,132,47,-
Aug-16,23,Meghan Trainor,Me Too,914.268,13,-,-,139,9,15
Aug-16,24,Fifth Harmony & Fetty Wap,All In My Head,898.73,24,25,-,-,23,19
Aug-16,25,Lukas Graham,Seven Years,880.911,22,49,-,51,15,43
Aug-16,26,DNCE,Cake By The Ocean,879.195,37,22,-,54,27,24
Aug-16,27,Twenty One Pilots,Stressed Out,861.988,25,62,-,34,21,-
Aug-16,28,Coldplay,Hymn For The Weekend,859.18,40,21,-,29,-,-
Aug-16,29,Rihanna & Drake,Work,855.715,21,55,-,82,26,-
Aug-16,30,"Lil' Wayne, Wiz Khalifa & Imagine Dragons",Sucker For Pain,800.383,15,13,8,18,23,12
Aug-16,31,Justin Bieber,Love Yourself,798.851,30,60,-,50,28,-
Aug-16,32,Gnash & Olivia O'Brien,I Hate U I Love U,792.462,27,18,-,-,41,-
Aug-16,33,Katy Perry,Rise,787.328,11,67,-,34,13,1
Aug-16,34,Flume & Kai,Never Be Like You,781.425,24,-,-,87,34,34
Aug-16,35,Florida Georgia Line,H.O.L.Y.,774.818,14,-,-,-,24,-
Aug-16,36,Justin Bieber,Sorry,728.433,41,53,-,94,23,-
Aug-16,37,DJ Snake & Justin Bieber,Let Me Love You,711.383,12,2,4,1,6,2
Aug-16,38,Selena Gomez,Kill Em With Kindness,706.285,50,36,-,150,16,36
Aug-16,39,Kiiara,Gold,701.64,32,53,-,-,-,-
Aug-16,40,James Bay,Let It Go,689.551,18,94,-,64,37,-
Aug-16,41,Imany,Don't Be So Shy (Filatov & Karas Remix),678.015,-,-,1,1,-,9
Aug-16,42,The Chainsmokers & Halsey,Closer,670.046,6,3,-,122,4,1
Aug-16,43,Enrique Iglesias & Wisin,Duele el corazon,628.641,82,-,-,3,-,-
Aug-16,44,"DJ Khaled, Jay-Z & Future",I Got The Keys,621.514,30,-,-,125,-,-
Aug-16,45,DRAM & Lil Yachty,Broccoli,613.757,26,-,-,-,-,-
Aug-16,46,Future & The Weeknd,Low Life,592.135,32,-,-,-,48,-
Aug-16,47,Galantis,No Money,578.243,88,19,-,68,-,30
Aug-16,48,Ariana Grande,Dangerous Woman,576.158,24,69,-,-,34,-
Aug-16,49,Beyonce,Sorry,572.292,28,-,-,151,-,-
Aug-16,50,Nick Jonas & Tove Lo,Close,561.388,31,81,-,-,19,-
Sep-16,1,The Chainsmokers & Halsey,Closer,2427.362,1,1,2,52,1,1
Sep-16,2,"Major Lazer, Justin Bieber & MO",Cold Water,2201.433,2,1,2,23,1,3
Sep-16,3,DJ Snake & Justin Bieber,Let Me Love You,1890.51,12,2,1,3,6,2
Sep-16,4,Twenty One Pilots,Heathens,1821.637,2,5,9,26,4,3
Sep-16,5,Sia,Cheap Thrills,1682.809,1,15,-,8,2,30
Sep-16,6,Rihanna & Calvin Harris,This Is What You Came For,1514.876,3,12,-,10,3,10
Sep-16,7,The Chainsmokers & Daya,Don't Let Me Down,1506.989,5,6,-,27,5,19
Sep-16,8,"Drake, WizKid & Kyla",One Dance,1433.143,5,8,-,20,7,11
Sep-16,9,Shawn Mendes,Treat You Better,1368.591,8,8,6,117,7,7
Sep-16,10,Twenty One Pilots,Ride,1353.132,5,48,-,12,16,35
Sep-16,11,Charlie Puth & Selena Gomez,We Don't Talk Anymore,1315.283,10,14,-,8,11,15
Sep-16,12,Justin Timberlake,Can't Stop The Feeling,1311.466,9,18,-,2,8,13
Sep-16,13,"Lil' Wayne, Wiz Khalifa & Imagine Dragons",Sucker For Pain,1257.98,15,11,8,29,19,7
Sep-16,14,Adele,Send My Love (To Your New Lover),1188.774,8,30,-,53,12,15
Sep-16,15,Rihanna & Drake,Too Good,1144.772,14,10,-,53,13,16
Sep-16,16,Kungs & Cookin' On 3 Burners,This Girl,1129.267,30,11,5,5,10,25
Sep-16,17,Ariana Grande,Into You,1078.194,13,21,-,91,13,21
Sep-16,18,Rihanna,Needed Me,1058.274,9,48,-,-,27,44
Sep-16,19,Desiigner,Panda,943.066,16,44,-,49,24,31
Sep-16,20,Coldplay,Hymn For The Weekend,873.97,26,31,-,35,-,-
Sep-16,21,Drake,Controlla,866.742,22,32,-,92,44,-
Sep-16,22,Mike Posner,I Took A Pill In Ibiza,840.663,30,35,-,30,15,36
Sep-16,23,Tory Lanez,LUV,838.087,19,47,-,119,29,-
Sep-16,24,Kent Jones,Don't Mind,838.001,24,16,-,38,20,27
Sep-16,25,Fifth Harmony & Ty Dolla Sign,Work From Home,832.401,23,42,-,99,14,44
Sep-16,26,Gnash & Olivia O'Brien,I Hate U I Love U,824.025,22,27,-,-,33,-
Sep-16,27,Kiiara,Gold,807.95,20,73,-,-,28,-
Sep-16,28,Fifth Harmony & Fetty Wap,All In My Head,785.139,27,26,-,-,21,42
Sep-16,29,Flume & Kai,Never Be Like You,768.798,20,-,-,116,23,39
Sep-16,30,Twenty One Pilots,Stressed Out,767.025,34,57,-,36,28,-
Sep-16,31,Martin Garrix & Bebe Rexha,In The Name Of Love,760.961,56,10,-,43,24,8
Sep-16,32,Pink,Just Like Fire,750.023,21,80,-,105,21,40
Sep-16,33,DRAM & Lil Yachty,Broccoli,745.169,14,-,-,-,38,-
Sep-16,34,DJ Khaled & Drake,For Free,744.91,15,95,-,174,-,-
Sep-16,35,Rihanna & Drake,Work,702.536,34,59,-,124,36,-
Sep-16,36,Lukas Graham,Seven Years,676.528,40,63,-,70,25,-
Sep-16,37,Hailee Steinfeld & Grey,Starving,652.455,39,40,-,-,40,9
Sep-16,38,Meghan Trainor,Me Too,645.719,20,-,-,-,11,28
Sep-16,39,DNCE,Cake By The Ocean,638.798,45,34,-,67,34,24
Sep-16,40,Britney Spears & G-Eazy,Make Me...,630.035,17,75,-,78,22,43
Sep-16,41,Ariana Grande & Nicki Minaj,Side To Side,608.502,18,6,-,66,12,5
Sep-16,42,Florida Georgia Line,H.O.L.Y.,608.208,27,-,-,-,31,-
Sep-16,43,Imany,Don't Be So Shy (Filatov & Karas Remix),604.765,-,-,1,1,-,25
Sep-16,44,Daya,"Sit Still, Look Pretty",588.918,28,-,-,-,-,-
Sep-16,45,Katy Perry,Rise,577.438,29,94,-,72,26,24
Sep-16,46,Usher & Young Thug,No Limit,563.565,33,-,-,-,-,-
Sep-16,47,Kehlani,Gangsta,560.135,41,67,-,112,37,-
Sep-16,48,Desiigner,Tiimmy Turner,550.201,34,-,-,-,-,-
Sep-16,49,Skrillex & Rick Ross,Purple Lamborghini,542.101,33,72,-,109,28,43
Sep-16,50,Selena Gomez,Kill Em With Kindness,535.087,63,43,-,109,29,45
Oct-16,1,The Chainsmokers & Halsey,Closer,2537.257,1,1,2,31,1,1
Oct-16,2,DJ Snake & Justin Bieber,Let Me Love You,2102.619,4,3,2,3,4,6
Oct-16,3,Twenty One Pilots,Heathens,2058.608,2,9,9,12,3,4
Oct-16,4,"Major Lazer, Justin Bieber & MO",Cold Water,1831.144,3,4,6,32,2,7
Oct-16,5,The Weeknd & Daft Punk,Starboy,1624.364,2,2,7,1,2,2
Oct-16,6,Sia & Kendrick Lamar,The Greatest,1577.329,24,5,3,5,6,2
Oct-16,7,Sia,Cheap Thrills,1456.346,4,30,-,20,3,36
Oct-16,8,Shawn Mendes,Treat You Better,1440.202,6,13,-,39,7,16
Oct-16,9,The Chainsmokers & Daya,Don't Let Me Down,1386.017,5,11,-,56,8,26
Oct-16,10,Rihanna & Calvin Harris,This Is What You Came For,1304.814,7,20,-,26,5,19
Oct-16,11,Charlie Puth & Selena Gomez,We Don't Talk Anymore,1279.543,9,27,-,11,12,23
Oct-16,12,Calvin Harris,My Way,1270.242,24,4,5,14,15,9
Oct-16,13,Ariana Grande & Nicki Minaj,Side To Side,1244.973,10,4,-,88,10,3
Oct-16,14,"Drake, WizKid & Kyla",One Dance,1208.311,14,14,-,43,13,21
Oct-16,15,Twenty One Pilots,Ride,1188.744,9,52,-,12,19,39
Oct-16,16,Justin Timberlake,Can't Stop The Feeling,1166.379,17,26,-,13,17,18
Oct-16,17,DRAM & Lil Yachty,Broccoli,1084.524,6,93,-,-,27,-
Oct-16,18,Rihanna & Drake,Too Good,1054.898,15,17,-,124,15,27
Oct-16,19,Adele,Send My Love (To Your New Lover),1054.356,10,59,-,60,16,22
Oct-16,20,"Lil' Wayne, Wiz Khalifa & Imagine Dragons",Sucker For Pain,1040.339,22,15,-,59,21,9
Oct-16,21,Kungs & Cookin' On 3 Burners,This Girl,1007.25,26,21,-,9,8,38
Oct-16,22,Rihanna,Needed Me,995.764,11,52,-,-,29,44
Oct-16,23,Martin Garrix & Bebe Rexha,In The Name Of Love,990.552,39,9,-,26,19,13
Oct-16,24,Hailee Steinfeld & Grey,Starving,987.148,20,5,-,-,18,5
Oct-16,25,Gnash & Olivia O'Brien,I Hate U I Love U,963.335,10,39,-,-,23,-
Oct-16,26,Ariana Grande,Into You,923.605,17,31,-,-,14,30
Oct-16,27,Coldplay,Hymn For The Weekend,886.398,25,52,-,50,-,-
Oct-16,28,Tory Lanez,LUV,884.084,21,47,-,179,28,-
Oct-16,29,Kiiara,Gold,831.589,13,98,-,-,20,-
Oct-16,30,Desiigner,Panda,828.653,25,61,-,79,32,47
Oct-16,31,Drake,Controlla,782.714,30,36,-,193,45,46
Oct-16,32,Fifth Harmony & Ty Dolla Sign,Work From Home,687.593,35,60,-,-,23,-
Oct-16,33,Lady GaGa,Perfect Illusion,685.044,15,44,-,95,17,14
Oct-16,34,"Kanye West, Post Malone & Ty Dolla Sign",Fade,639.319,47,50,-,40,37,-
Oct-16,35,X Ambassadors,Unsteady,637.798,26,-,-,-,-,-
Oct-16,36,Daya,"Sit Still, Look Pretty",607.985,29,-,-,-,-,-
Oct-16,37,DJ Khaled & Drake,For Free,604.032,27,-,-,-,-,-
Oct-16,38,Pink,Just Like Fire,579.681,36,-,-,157,40,-
Oct-16,39,Kenny Chesney & Pink,Setting The World On Fire,577.552,34,-,-,-,48,-
Oct-16,40,Niall Horan,This Town,573.31,25,9,-,34,29,5
Oct-16,41,Desiigner,Tiimmy Turner,570.071,34,-,-,-,50,-
Oct-16,42,Usher & Young Thug,No Limit,568.744,32,-,-,-,-,-
Oct-16,43,Fifth Harmony & Fetty Wap,All In My Head,566.456,52,41,-,-,26,-
Oct-16,44,Mike Posner,I Took A Pill In Ibiza,550.272,43,57,-,75,20,45
Oct-16,45,Alessia Cara,Scars To Your Beautiful,542.423,42,93,-,-,23,-
Oct-16,46,Young M.A,Ooouuu,532.604,28,-,-,-,-,-
Oct-16,47,"Rob $tone, J. Davi$ & Spooks",Chill Bill,524.403,40,-,-,-,-,-
Oct-16,48,"Young Thug, Travi$ Scott & Quavo",Pick Up The Phone,522.357,47,-,-,137,-,-
Oct-16,49,Rag'n'Bone Man,Human,516.053,-,-,1,7,-,-
Oct-16,50,Billy Currington,It Don't Hurt Like It Used To,482.629,44,-,-,-,-,-
Nov-16,1,The Chainsmokers & Halsey,Closer,2280.149,1,3,6,31,1,3
Nov-16,2,The Weeknd & Daft Punk,Starboy,2219.024,2,4,4,6,2,2
Nov-16,3,DJ Snake & Justin Bieber,Let Me Love You,1783.316,4,12,8,11,4,10
Nov-16,4,Twenty One Pilots,Heathens,1630.063,3,21,10,4,3,15
Nov-16,5,Bruno Mars,24K Magic,1606.309,5,5,-,1,6,7
Nov-16,6,Sia & Kendrick Lamar,The Greatest,1515.174,19,8,3,5,7,7
Nov-16,7,Ariana Grande & Nicki Minaj,Side To Side,1339.671,6,9,-,89,7,6
Nov-16,8,"Major Lazer, Justin Bieber & MO",Cold Water,1329.091,7,13,-,76,3,12
Nov-16,9,Calvin Harris,My Way,1304.953,30,10,5,9,14,11
Nov-16,10,Maroon 5 & Kendrick Lamar,I Don't Wanna Know,1288.973,9,5,-,36,8,6
Nov-16,11,Shawn Mendes,Treat You Better,1223.33,8,16,-,39,7,24
Nov-16,12,Sia,Cheap Thrills,1155.104,9,36,-,24,8,49
Nov-16,13,Rae Sremmurd & Gucci Mane,Black Beatles,1154.483,1,2,-,2,3,6
Nov-16,14,DRAM & Lil Yachty,Broccoli,1115.216,5,97,-,200,25,-
Nov-16,15,Zay Hilfiger & Zayion McCall,Juju On Dat Beat (TZ Anthem),1108.598,8,37,-,134,16,27
Nov-16,16,Hailee Steinfeld & Grey,Starving,1108.13,14,5,-,-,13,5
Nov-16,17,Justin Timberlake,Can't Stop The Feeling,1076.8,16,29,-,14,22,27
Nov-16,18,The Chainsmokers & Daya,Don't Let Me Down,1066.821,13,23,-,95,14,32
Nov-16,19,Gnash & Olivia O'Brien,I Hate U I Love U,989.299,10,49,-,-,22,-
Nov-16,20,Rihanna & Calvin Harris,This Is What You Came For,982.891,14,34,-,53,11,36
Nov-16,21,James Arthur,Say You Won't Let Go,959.063,80,2,6,48,32,1
Nov-16,22,"Drake, WizKid & Kyla",One Dance,955.803,17,22,-,61,17,29
Nov-16,23,Martin Garrix & Bebe Rexha,In The Name Of Love,925.189,31,18,-,32,20,22
Nov-16,24,Charlie Puth & Selena Gomez,We Don't Talk Anymore,896.379,26,44,-,12,12,38
Nov-16,25,Twenty One Pilots,Ride,876.161,16,81,-,14,29,50
Nov-16,26,"Lil' Wayne, Wiz Khalifa & Imagine Dragons",Sucker For Pain,858.42,23,26,-,94,28,19
Nov-16,27,Kiiara,Gold,791.881,14,-,-,-,21,-
Nov-16,28,Drake,Fake Love,791.07,10,10,-,83,10,18
Nov-16,29,Rihanna & Drake,Too Good,776.43,24,32,-,-,21,35
Nov-16,30,Tory Lanez,LUV,765.634,20,47,-,-,30,-
Nov-16,31,Alessia Cara,Scars To Your Beautiful,760.695,22,66,-,-,15,33
Nov-16,32,Adele,Send My Love (To Your New Lover),728.111,19,-,-,79,26,37
Nov-16,33,Young M.A,Ooouuu,706.714,19,-,-,-,50,-
Nov-16,34,The Chainsmokers & Phoebe Ryan,All We Know,705.155,38,38,-,-,16,8
Nov-16,35,Rihanna,Needed Me,682.259,18,78,-,-,42,-
Nov-16,36,Coldplay,Hymn For The Weekend,673.248,27,60,-,49,-,-
Nov-16,37,Amine,Caroline,666.84,18,-,-,-,42,-
Nov-16,38,Niall Horan,This Town,665.252,54,20,-,-,41,14
Nov-16,39,Shawn Mendes,Mercy,662.829,58,15,-,-,37,13
Nov-16,40,Desiigner,Panda,652.213,32,80,-,122,36,-
Nov-16,41,"Clean Bandit, Sean Paul & Anne-Marie",Rockabye,643.07,-,1,2,49,79,14
Nov-16,42,Rag'n'Bone Man,Human,630.26,-,77,1,5,-,46
Nov-16,43,Zara Larsson,Ain't My Fault,628.875,83,14,-,119,46,17
Nov-16,44,X Ambassadors,Unsteady,621.564,25,-,-,-,-,-
Nov-16,45,Little Mix,Shout Out To My Ex,613.174,69,1,-,106,37,4
Nov-16,46,Keith Urban,Blue Ain't Your Color,591.586,25,-,-,-,40,-
Nov-16,47,Desiigner,Tiimmy Turner,576.455,34,-,-,-,38,-
Nov-16,48,Daya,"Sit Still, Look Pretty",574.734,31,-,-,-,64,-
Nov-16,49,Kenny Chesney & Pink,Setting The World On Fire,567.893,29,-,-,-,52,-
Nov-16,50,"Rob $tone, J. Davi$ & Spooks",Chill Bill,566.769,29,-,-,-,53,-
Dec-16,1,The Weeknd & Daft Punk,Starboy,2284.87,2,3,3,4,1,2
Dec-16,2,Rae Sremmurd & Gucci Mane,Black Beatles,2280.607,1,2,8,2,3,3
Dec-16,3,The Chainsmokers & Halsey,Closer,1792.312,2,9,10,56,1,5
Dec-16,4,Bruno Mars,24K Magic,1704.894,4,6,-,1,3,4
Dec-16,5,Maroon 5 & Kendrick Lamar,I Don't Wanna Know,1473.658,7,5,-,20,6,8
Dec-16,6,DJ Snake & Justin Bieber,Let Me Love You,1458.78,5,15,-,22,5,19
Dec-16,7,Ariana Grande & Nicki Minaj,Side To Side,1430.639,4,13,-,97,5,15
Dec-16,8,Twenty One Pilots,Heathens,1376.692,4,39,-,4,4,34
Dec-16,9,Sia & Kendrick Lamar,The Greatest,1229.233,18,12,8,12,8,14
Dec-16,10,Zay Hilfiger & Zayion McCall,Juju On Dat Beat (TZ Anthem),1207.646,5,40,-,120,13,26
Dec-16,11,"Clean Bandit, Sean Paul & Anne-Marie",Rockabye,1205.211,90,1,1,8,28,1
Dec-16,12,James Arthur,Say You Won't Let Go,1192.634,60,4,6,31,16,1
Dec-16,13,Drake,Fake Love,1170.251,11,11,-,178,12,16
Dec-16,14,Hailee Steinfeld & Grey,Starving,1139.122,12,10,-,-,12,13
Dec-16,15,"Major Lazer, Justin Bieber & MO",Cold Water,1107.065,12,22,-,114,7,21
Dec-16,16,Justin Timberlake,Can't Stop The Feeling,1023.937,16,38,-,27,22,13
Dec-16,17,Sia,Cheap Thrills,1012.844,15,43,-,31,13,-
Dec-16,18,Shawn Mendes,Treat You Better,1006.86,13,24,-,106,11,37
Dec-16,19,Martin Garrix & Bebe Rexha,In The Name Of Love,976.031,24,29,-,58,19,32
Dec-16,20,Rag'n'Bone Man,Human,964.57,-,2,1,2,-,38
Dec-16,21,DRAM & Lil Yachty,Broccoli,946.283,9,-,-,200,23,-
Dec-16,22,The Weeknd & Daft Punk,I Feel It Coming,922.501,22,9,-,2,12,11
Dec-16,23,Alessia Cara,Scars To Your Beautiful,914.363,13,91,-,-,14,8
Dec-16,24,The Chainsmokers & Daya,Don't Let Me Down,886.596,23,35,-,109,21,48
Dec-16,25,Gnash & Olivia O'Brien,I Hate U I Love U,871.144,11,82,-,-,28,-
Dec-16,26,Amine,Caroline,858.313,12,-,-,-,33,-
Dec-16,27,Mariah Carey,All I Want For Christmas Is You,846.521,17,5,5,4,11,36
Dec-16,28,John Legend,Love Me Now,834.804,23,30,-,68,20,25
Dec-16,29,"Drake, WizKid & Kyla",One Dance,807.196,32,25,-,85,26,41
Dec-16,30,Shawn Mendes,Mercy,805.456,35,20,-,172,30,17
Dec-16,31,Rihanna & Calvin Harris,This Is What You Came For,785.987,25,52,-,52,19,50
Dec-16,32,Machine Gun Kelly & Camila Cabello,Bad Things,710.2,10,-,-,-,26,-
Dec-16,33,X Ambassadors,Unsteady,705.345,20,-,-,-,-,-
Dec-16,34,Young M.A,Ooouuu,697.424,20,-,-,-,50,-
Dec-16,35,Calvin Harris,My Way,687.997,55,16,7,9,19,22
Dec-16,36,The Weeknd,Party Monster,682.797,16,17,-,88,8,33
Dec-16,37,Niall Horan,This Town,673.903,29,32,-,-,32,28
Dec-16,38,Keith Urban,Blue Ain't Your Color,665.75,24,-,-,-,40,-
Dec-16,39,Twenty One Pilots,Ride,657.991,28,-,-,16,44,-
Dec-16,40,Rihanna,Love On The Brain,645.427,20,-,-,106,35,-
Dec-16,41,"Rob $tone, J. Davi$ & Spooks",Chill Bill,622.526,29,-,-,-,53,-
Dec-16,42,Jon Bellion,All Time Low,609.361,32,-,-,-,42,-
Dec-16,43,Florida Georgia Line & Tim McGraw,May We All,598.433,30,-,-,-,46,-
Dec-16,44,The Chainsmokers & Phoebe Ryan,All We Know,584.327,60,45,-,-,27,19
Dec-16,45,Pentatonix,Hallelujah,577.224,45,-,4,131,40,-
Dec-16,46,"DJ Khaled, Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",Do You Mind,577.17,27,-,-,-,93,-
Dec-16,47,21 Savage & Metro Boomin & Future,X,571.059,36,-,-,-,66,-
Dec-16,48,Future & Drake,Used To This,567.944,14,-,-,-,17,-
Dec-16,49,Rihanna,Needed Me,534.704,32,-,-,-,-,-
Dec-16,50,Andy Grammer,Fresh Eyes,534.607,59,58,-,-,59,16
Jan-17,1,The Weeknd & Daft Punk,Starboy,2155.807,1,5,5,11,1,2
Jan-17,2,Rae Sremmurd & Gucci Mane,Black Beatles,1897.531,1,13,-,12,4,8
Jan-17,3,The Chainsmokers & Halsey,Closer,1704.887,3,11,-,76,2,4
Jan-17,4,Bruno Mars,24K Magic,1703.066,4,7,-,4,3,3
Jan-17,5,"Clean Bandit, Sean Paul & Anne-Marie",Rockabye,1521.577,51,1,1,4,15,1
Jan-17,6,Maroon 5 & Kendrick Lamar,I Don't Wanna Know,1465.016,7,12,-,25,6,14
Jan-17,7,Zayn & Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker),1416.968,6,17,6,62,9,3
Jan-17,8,DJ Snake & Justin Bieber,Let Me Love You,1408.661,7,30,-,30,5,20
Jan-17,9,Ariana Grande & Nicki Minaj,Side To Side,1368.644,5,32,-,90,4,29
Jan-17,10,Migos & Lil Uzi Vert,Bad And Boujee,1351.979,1,34,-,91,5,34
Jan-17,11,Drake,Fake Love,1230.937,9,19,-,176,15,27
Jan-17,12,The Weeknd & Daft Punk,I Feel It Coming,1215.943,22,12,-,1,13,7
Jan-17,13,Twenty One Pilots,Heathens,1197.844,12,45,-,9,8,36
Jan-17,14,Zay Hilfiger & Zayion McCall,Juju On Dat Beat (TZ Anthem),1092.963,5,100,-,132,14,39
Jan-17,15,Alessia Cara,Scars To Your Beautiful,1065.878,12,55,-,-,17,8
Jan-17,16,Hailee Steinfeld & Grey,Starving,1060.229,17,18,-,-,9,27
Jan-17,17,Sia & Kendrick Lamar,The Greatest,1057.063,22,34,-,22,10,26
Jan-17,18,James Arthur,Say You Won't Let Go,1052.909,31,8,10,21,10,5
Jan-17,19,Justin Timberlake,Can't Stop The Feeling,1026.093,20,21,-,23,20,9
Jan-17,20,Machine Gun Kelly & Camila Cabello,Bad Things,996.858,9,-,-,177,19,28
Jan-17,21,Shawn Mendes,Mercy,972.972,17,25,-,172,25,26
Jan-17,22,Ed Sheeran,Shape Of You,931.227,1,1,1,1,1,1
Jan-17,23,Sia,Cheap Thrills,928.501,26,37,-,27,16,-
Jan-17,24,Martin Garrix & Bebe Rexha,In The Name Of Love,899.078,26,46,-,77,21,-
Jan-17,25,Shawn Mendes,Treat You Better,884.14,23,39,-,135,14,-
Jan-17,26,Amine,Caroline,880.966,11,-,-,-,33,-
Jan-17,27,DRAM & Lil Yachty,Broccoli,874.689,10,-,-,-,33,-
Jan-17,28,John Legend,Love Me Now,866.566,30,17,-,140,21,42
Jan-17,29,"Major Lazer, Justin Bieber & MO",Cold Water,837.485,34,34,-,164,13,27
Jan-17,30,The Chainsmokers & Daya,Don't Let Me Down,826.299,29,43,-,135,26,44
Jan-17,31,Rag'n'Bone Man,Human,821.939,-,2,2,2,96,17
Jan-17,32,Rihanna,Love On The Brain,816.641,19,-,-,14,32,-
Jan-17,33,Big Sean,Bounce Back,769.199,16,-,-,-,36,-
Jan-17,34,Jon Bellion,All Time Low,752.919,16,-,-,-,24,-
Jan-17,35,J Cole,Deja Vu,751.39,7,61,-,-,7,-
Jan-17,36,Ed Sheeran,Castle On The Hill,715.364,6,2,2,3,2,2
Jan-17,37,Adele,Water Under The Bridge,709.453,33,39,-,-,37,45
Jan-17,38,Young M.A,Ooouuu,707.326,19,-,-,-,41,-
Jan-17,39,Mariah Carey,All I Want For Christmas Is You,703.331,16,5,5,5,7,15
Jan-17,40,Niall Horan,This Town,690.501,20,-,-,-,29,-
Jan-17,41,Shakira & Maluma,Chantaje,659.395,51,-,-,22,50,-
Jan-17,42,Gnash & Olivia O'Brien,I Hate U I Love U,658.593,25,-,-,-,38,-
Jan-17,43,Keith Urban,Blue Ain't Your Color,657.294,28,-,-,-,44,-
Jan-17,44,"Rob $tone, J. Davi$ & Spooks",Chill Bill,610.403,29,-,-,-,59,-
Jan-17,45,The Weeknd,Party Monster,598.301,47,83,-,-,30,-
Jan-17,46,21 Savage & Metro Boomin & Future,X,586.74,36,-,-,-,68,-
Jan-17,47,Pentatonix,Hallelujah,572.714,23,-,4,131,27,-
Jan-17,48,J Cole,Neighbors,554.047,13,-,-,-,17,-
Jan-17,49,Auli'i Cravalho,How Far I'll Go,547.968,41,94,-,-,58,49
Jan-17,50,21 Savage & Metro Boomin,No Heart,537.427,43,-,-,-,79,-
Feb-17,1,Ed Sheeran,Shape Of You,2548.651,1,1,1,1,1,1
Feb-17,2,Zayn & Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker),1848.972,3,5,2,4,2,3
Feb-17,3,Migos & Lil Uzi Vert,Bad And Boujee,1606.762,1,30,-,91,5,34
Feb-17,4,The Chainsmokers,Paris,1526.128,7,5,3,61,2,4
Feb-17,5,Ed Sheeran,Castle On The Hill,1425.712,6,2,2,39,2,2
Feb-17,6,"Clean Bandit, Sean Paul & Anne-Marie",Rockabye,1405.822,23,8,2,5,5,3
Feb-17,7,The Chainsmokers & Halsey,Closer,1372.098,3,25,-,105,2,13
Feb-17,8,The Weeknd & Daft Punk,Starboy,1339.307,4,15,-,11,3,8
Feb-17,9,Maroon 5 & Kendrick Lamar,I Don't Wanna Know,1283.488,6,22,-,28,7,22
Feb-17,10,Rae Sremmurd & Gucci Mane,Black Beatles,1212.454,3,31,-,33,12,25
Feb-17,11,The Weeknd & Daft Punk,I Feel It Coming,1192.764,16,14,-,4,12,7
Feb-17,12,Bruno Mars,24K Magic,1164.988,7,23,-,18,6,15
Feb-17,13,Machine Gun Kelly & Camila Cabello,Bad Things,1149.443,4,-,-,103,11,22
Feb-17,14,Drake,Fake Love,1086.227,8,28,-,176,16,36
Feb-17,15,Ariana Grande & Nicki Minaj,Side To Side,997.821,9,37,-,117,8,39
Feb-17,16,DJ Snake & Justin Bieber,Let Me Love You,995.141,14,43,-,44,9,32
Feb-17,17,Alessia Cara,Scars To Your Beautiful,982.205,8,68,-,-,17,17
Feb-17,18,James Arthur,Say You Won't Let Go,967.834,27,12,-,21,9,12
Feb-17,19,Starley,Call On Me,954.574,72,6,7,24,40,9
Feb-17,20,Justin Timberlake,Can't Stop The Feeling,908.716,22,47,-,29,26,29
Feb-17,21,Rihanna,Love On The Brain,877.638,13,-,-,12,28,-
